# VOTING_WINDOW [53794570,53804570]  (inclusive)
validator_owner,validator_ad_app_id,status,delegators,total_yes,total_no,total_none,last_in_window_round,validator_state
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2740667171,UPGRADED,1,1,0,0,53795843,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2810076932,UPGRADED,4,1,0,0,53801185,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2880646929,UPGRADED,3,1,0,0,53800624,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2880647712,UPGRADED,3,1,0,0,53798137,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2964411720,UPGRADED,1,1,0,0,53797369,READY
LVU5WJPG6DBOGTQ4L67TRBL7D3QF6KE26PEKNBO2YVBUTYT2PTMOUNNUKA,3002603976,UPGRADED,1,1,0,0,53804021,READY
NODERNETFVI25BYSLNYXBYBVJS3SQ7TOIFPRI3SC3M2H53AKY5YA2UUIVU,2718081408,UPGRADED,3,1,0,0,53799049,READY
NODERNETFVI25BYSLNYXBYBVJS3SQ7TOIFPRI3SC3M2H53AKY5YA2UUIVU,2760514246,UPGRADED,4,1,0,0,53803999,READY
NR4SKWFO7GUZNTQULOIYGZ4GMXXIPL3NAYKYO5IYE2EAYSNE6DUVWV2CTI,2932684443,UNKNOWN,3,0,0,3,,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2714084797,UPGRADED,3,1,0,0,53804015,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2714103993,UPGRADED,4,1,0,0,53801327,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2714191885,UPGRADED,4,1,0,0,53804020,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2714197792,UPGRADED,4,1,0,0,53800415,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2715559937,UPGRADED,2,1,0,0,53796325,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2715577816,UPGRADED,4,1,0,0,53802849,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2715593393,UPGRADED,4,1,0,0,53803342,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2715599312,UNKNOWN,2,0,0,2,,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2715617488,UNKNOWN,1,0,0,1,,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2715618930,UPGRADED,1,1,0,0,53804527,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2735422179,UNKNOWN,4,0,0,4,,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2747314332,UPGRADED,4,1,0,0,53797011,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2747315128,UPGRADED,1,1,0,0,53802095,READY
RLGJJV7MRE447DZSGCDYZJA4UTZ5V4RKC4A4E3UAPJVP4J7MDVOZGG6XBE,2785199289,UNKNOWN,1,0,0,1,,READY
S3KU3KPEJF4XFQMNMOZK3EC3XYVS2DYIRC4SFXIB4B366EOC6W3G47HYXU,2722257202,UPGRADED,4,1,0,0,53803588,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2735587259,UNKNOWN,3,0,0,3,,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2743701169,UPGRADED,4,1,0,0,53795688,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2747490907,UPGRADED,4,1,0,0,53795707,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2760770858,UNKNOWN,3,0,0,3,,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2808608801,UPGRADED,4,1,0,0,53801892,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2828447217,UNKNOWN,4,0,0,4,,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2834358502,UPGRADED,4,1,0,0,53803986,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2862270477,UPGRADED,4,1,0,0,53804028,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2862624084,UNKNOWN,1,0,0,1,,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2880672827,UPGRADED,4,1,0,0,53798599,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2904702329,UNKNOWN,4,0,0,4,,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2918543200,UNKNOWN,4,0,0,4,,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2944049570,UPGRADED,4,1,0,0,53804164,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,2953358409,UPGRADED,4,1,0,0,53803911,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,3009094837,UPGRADED,4,1,0,0,53802155,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,3039889617,UPGRADED,4,1,0,0,53803771,READY
STAKEJZNMZMEVHLZQTZVMCHHFAJ3HXGGTA3JX27KBUFHYFPQMV4DSDDXTY,3117909428,UPGRADED,4,1,0,0,53802081,READY
VVS7WC3VHZNXLLGVRRLZDRXMWJPQBK7KUA4HR4UTDB2WCJFHGDN3DLEOQI,2721493713,NOT-UPGRADED,1,0,1,0,53804064,READY
VVS7WC3VHZNXLLGVRRLZDRXMWJPQBK7KUA4HR4UTDB2WCJFHGDN3DLEOQI,2725778489,NOT-UPGRADED,4,0,1,0,53801961,READY
VVS7WC3VHZNXLLGVRRLZDRXMWJPQBK7KUA4HR4UTDB2WCJFHGDN3DLEOQI,2728778607,NOT-UPGRADED,4,0,1,0,53804479,READY
VVS7WC3VHZNXLLGVRRLZDRXMWJPQBK7KUA4HR4UTDB2WCJFHGDN3DLEOQI,2735861713,UNKNOWN,3,0,0,3,,READY
VVS7WC3VHZNXLLGVRRLZDRXMWJPQBK7KUA4HR4UTDB2WCJFHGDN3DLEOQI,2758643753,NOT-UPGRADED,3,0,1,0,53798941,READY
VVS7WC3VHZNXLLGVRRLZDRXMWJPQBK7KUA4HR4UTDB2WCJFHGDN3DLEOQI,2770943689,NOT-UPGRADED,3,0,1,0,53802168,READY
WVOLVLHDP4CZAXMTPGEDUJP4ZOOOZ2C7LWAHF3ADN3XWXU6HJ5JCD4VTKI,2962578163,NOT-UPGRADED,4,0,1,0,53798226,READY
WVOLVLHDP4CZAXMTPGEDUJP4ZOOOZ2C7LWAHF3ADN3XWXU6HJ5JCD4VTKI,3013337394,UNKNOWN,4,0,0,4,,READY
X7CWYVUNR3G5QTSNGF7VWE5LXQPGUH63L7EOMRNZYNNPPQQROMFSR7LBKE,3023415425,UNKNOWN,1,0,0,1,,READY
XJJPI3MY2WYMCIQESHR77RWDS56PGYKS6TSCZL2EKNTRTVNAAINWFOA2LE,2917514018,UNKNOWN,1,0,0,1,,READY
Y2IQC2ORCHJDKXAKRYOXLOZ5GUSAZZBTYG72X4ECXKEJSB5JF4WGEUD2GM,2920298868,NOT-UPGRADED,4,0,1,0,53803924,READY

# validators_with_no_window_active_delegators
validator_owner,validator_ad_app_id,status,delegators,total_yes,total_no,total_none,last_in_window_round,validator_state
222F4JFG75UHMNCINTIMAAHY4L6TQKQ3JUEZL5O5WSLFOSYDYJMTU6WK4I,2806234462,UNKNOWN,0,0,0,0,,READY
236NQRJ4MDCKUPEYCMQZC6SK7EKVXR4FFEP4NMKAMYLPAFM4NZ4WJBZH5Y,2717984012,UNKNOWN,0,0,0,0,,NOT_LIVE
